A	a	DET	Definite=Def|PronType=Art	
veleszületett	veleszületett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
vérzékenység	vérzékenység	NOUN	Case=Nom|Number=Sing	
kezelésére	kezelés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szolgáló	szolgáló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
fejlett	fejlett	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rekombináns	rekombináns	ADJ	Case=Nom|Degree=Pos|Number=Sing	
készítmények	készítmény	NOUN	Case=Nom|Number=Plur	
2019.	2019.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
évi	évi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
beszerzésére	beszerzés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
keretmegállapodás	keretmegállapodás	NOUN	Case=Nom|Number=Sing	
megkötésére	megkötés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
irányuló	irányuló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
gyorsított	gyorsított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
tárgyalásos	tárgyalásos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
eljárás	eljárás	NOUN	Case=Nom|Number=Sing	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
részben	rész	NOUN	Case=Ine|Number=Sing	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
rekombináns	rekombináns	ADJ	Case=Nom|Degree=Pos|Number=Sing	
technológiával	technológia	NOUN	Case=Ins|Number=Sing	
előállított	előállított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
III	III	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
generációs	generációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
teljes	teljes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
molekulaméretű	molekulaméretű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
VIII	8	NUM	Case=Nom|NumType=Card|Number=Sing	
faktor	faktor	NOUN	Case=Nom|Number=Sing	
koncentrátum	koncentrátum	NOUN	Case=Nom|Number=Sing	
PK	PK	PROPN	Case=Nom|Number=Sing	
dozírozást	dozírozás	NOUN	Case=Acc|Number=Sing	
segítő	segítő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
orvostechnikai	orvostechnikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
eszköz	eszköz	NOUN	Case=Nom|Number=Sing	
biztosításával	biztosítás	NOUN	Case=Ins|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
ATC	ATC	PROPN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
B02BD02	B02BD02	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
recombináns	recombináns	ADJ	Case=Nom|Degree=Pos|Number=Sing	
technológiával	technológia	NOUN	Case=Ins|Number=Sing	
előállított	előállított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
generációs	generációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
B-domain	B-domain	NOUN	Case=Nom|Number=Sing	
rövidített	rövidített	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
,	,	PUNCT	_	
teljesen	teljes	ADJ	Case=Ess|Degree=Pos|Number=Sing	
tirozin-szulfatált	tirozin-szulfatált	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
VIII	8	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
faktor	faktor	NOUN	Case=Nom|Number=Sing	
koncentrátum	koncentrátum	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
korábban	korán	ADV	Degree=Cmp	
már	már	ADV	_	
kezelt	kezelt	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
,	,	PUNCT	_	
ún.	ún.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
PTP	PTP	NOUN	Case=Nom|Number=Sing	
betegek	beteg	NOUN	Case=Nom|Number=Plur	
részére	részére	ADP	_	
(	(	PUNCT	_	
ATC	ATC	PROPN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
B02BD02	B02BD02	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
3	3	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
recombináns	recombináns	ADJ	Case=Nom|Degree=Pos|Number=Sing	
technológiával	technológia	NOUN	Case=Ins|Number=Sing	
humán	humán	ADJ	Case=Nom|Degree=Pos|Number=Sing	
sejtvonalon	sejtvonal	NOUN	Case=Sup|Number=Sing	
előállított	előállított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
generációs	generációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
B-domain-rövidített	B-domain-rövidített	PROPN	Case=Nom|Number=Sing	
VIII	8	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
faktor	faktor	NOUN	Case=Nom|Number=Sing	
koncentrátum	koncentrátum	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
ATC	ATC	PROPN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
B02BD02	B02BD02	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
4	4	NUM	Case=Nom|NumType[sem]=Time|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
recombináns	recombináns	ADJ	Case=Nom|Degree=Pos|Number=Sing	
technológiával	technológia	NOUN	Case=Ins|Number=Sing	
előállított	előállított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
generációs	generációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
teljes	teljes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
molekulaméretű	molekulaméretű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
VIII	8	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
faktor	faktor	NOUN	Case=Nom|Number=Sing	
koncentrátum	koncentrátum	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
ATC	ATC	PROPN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
B02BD02	B02BD02	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
rekombináns	rekombináns	ADJ	Case=Nom|Degree=Pos|Number=Sing	
technológiával	technológia	NOUN	Case=Ins|Number=Sing	
,	,	PUNCT	_	
humán	humán	ADJ	Case=Nom|Degree=Pos|Number=Sing	
sejtvonalon	sejtvonal	NOUN	Case=Sup|Number=Sing	
előállított	előállított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
,	,	PUNCT	_	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
generációs	generációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
elnyújtott	elnyújtott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
felezési	felezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
idejű	idejű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
VIII	8	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
faktor	faktor	NOUN	Case=Nom|Number=Sing	
koncentrátum	koncentrátum	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Fc	Fc	PROPN	Case=Nom|Number=Sing	
fúziós	fúziós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
fehérje	fehér	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
ATC:B02BD02	ATC:B02BD02	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	

