Az	az	DET	Definite=Def|PronType=Art	
ELI-HU	ELI-HU	PROPN	Case=Nom|Number=Sing	
Nonprofit	nonprofit	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Kft.	Kft.	PROPN	Case=Nom|Number=Sing	
vagyonelemeivel	vagyonelem	NOUN	Case=Ins|Number=Plur|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
tevékenységével	tevékenység	NOUN	Case=Ins|Number=Sing|Number[psor]=Sing|Person[psor]=3	
összefüggő	összefüggő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kockázatokra	kockázat	NOUN	Case=Sub|Number=Plur	
vonatkozó	vonatkozó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
rögzített	rögzített	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
díjtételű	díjtételű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
egyedi	egyedi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
feltételrendszerű	feltételrendszerű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
all-risk	all-risk	NOUN	Case=Nom|Number=Sing	
vagyon	vagyon	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
kombinált	kombinált	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
felelősségbiztosítás	felelősségbiztosítás	NOUN	Case=Nom|Number=Sing	
megkötése	megkötés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
határozott	határozott	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tartamú	tartamú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
biztosítási	biztosítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

