A	a	DET	Definite=Def|PronType=Art	
KEOP	KEOP	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
5.6.0	5.6.0	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
E	e	PRON	Case=Nom|Number=Sing|Person=3|PronType=Dem	
/	/	PUNCT	_	
15.	15.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

„	„	PUNCT	_	
Egészségügyi	Egészségügyi	PROPN	Case=Nom|Number=Sing	
eszközök	eszközök	PROPN	Case=Nom|Number=Sing	
energia	energia	NOUN	Case=Nom|Number=Sing	
megtakarítást	megtakarítás	NOUN	Case=Acc|Number=Sing	
célzó	célzó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
beszerzésének	beszerzés	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
támogatása	támogatás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
című	című	ADJ	Case=Nom|Degree=Pos|Number=Sing	
konstrukció	konstrukció	NOUN	Case=Nom|Number=Sing	
pályázati	pályázati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felhívásának	felhívás	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
szakasza	szakasz	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
röntgen	röntgen	NOUN	Case=Nom|Number=Sing	
berendezés	berendezés	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

