1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
részajánlati	részajánlati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kör	kör	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Szállítási	Szállítási	PROPN	Case=Nom|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
Szegedi	Szegedi	PROPN	Case=Nom|Number=Sing	
Tudományegyetem	Tudományegyetem	PROPN	Case=Nom|Number=Sing	
TIOP-2	TIOP-2	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
7-07	7-07	NUM	Case=Nom|NumType=Card|Number=Sing	
/	/	PUNCT	_	
2F	2F	NUM	Case=Nom|NumType=Card|Number=Sing	
/	/	PUNCT	_	
2-2009-0008	2-2009-0008	PROPN	Case=Nom|Number=Sing	
kódszámú	kódszámú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
pályázatának	pályázat	NOUN	Case=Dat|Number=Sing|Number[psor]=Sing|Person[psor]=3	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
Szent-Györgyi	Szent-Györgyi	PROPN	Case=Nom|Number=Sing	
Albert	Albert	PROPN	Case=Nom|Number=Sing	
Klinikai	klinikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Központ	Központ	PROPN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
központi	központi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
sterilizáló	sterilizáló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
eszközei	eszköz	NOUN	Case=Nom|Number=Plur|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
műszerkövető	műszerkövető	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rendszer	rendszer	NOUN	Case=Nom|Number=Sing	
leszállítása	leszállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
üzembe	üzem	NOUN	Case=Ill|Number=Sing	
helyezése	helyezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
kapcsolódó	kapcsolódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
szolgáltatások	szolgáltatás	NOUN	Case=Nom|Number=Plur	
teljesítése	teljesítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
tárgyban	tárgy	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
részajánlati	részajánlati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kör	kör	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Szállítási	Szállítási	PROPN	Case=Nom|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
Szegedi	Szegedi	PROPN	Case=Nom|Number=Sing	
Tudományegyetem	Tudományegyetem	PROPN	Case=Nom|Number=Sing	
