1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
85	85	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
darab	darab	NOUN	Case=Nom|Number=Sing	
egyszer	egy	ADV	_	
használatos	használatos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
steril	steril	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
trombocita	trombocita	NOUN	Case=Nom|Number=Sing	
készítmény	készítmény	NOUN	Case=Nom|Number=Sing	
tárolására	tárolás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
alkalmas	alkalmas	ADJ	Case=Nom|Degree=Pos|Number=Sing	
legalább	legalább	ADV	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
ml	ml	NOUN	Case=Ins|Number=Sing	
,	,	PUNCT	_	
legfeljebb	legfeljebb	ADV	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
ml	ml	NOUN	Case=Ins|Number=Sing	
névleges	névleges	ADJ	Case=Nom|Degree=Pos|Number=Sing	
térfogatú	térfogatú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
transzferzsák	transzferzsák	NOUN	Case=Nom|Number=Sing	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
350	350	NUM	Case=Nom|NumType=Card|Number=Sing	
darab	darab	NOUN	Case=Nom|Number=Sing	
egyszer	egy	ADV	_	
használatos	használatos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
steril	steril	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
granulocita	granulocita	NOUN	Case=Nom|Number=Sing	
készítmény	készítmény	NOUN	Case=Nom|Number=Sing	
tárolására	tárolás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
alkalmas	alkalmas	ADJ	Case=Nom|Degree=Pos|Number=Sing	
legalább	legalább	ADV	_	
900	900	NUM	Case=Nom|NumType=Card|Number=Sing	
ml	ml	NOUN	Case=Ins|Number=Sing	
,	,	PUNCT	_	
legfeljebb	legfeljebb	ADV	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
ml	ml	NOUN	Case=Ins|Number=Sing	
névleges	névleges	ADJ	Case=Nom|Degree=Pos|Number=Sing	
térfogatú	térfogatú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
transzferzsák	transzferzsák	NOUN	Case=Nom|Number=Sing	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
17	17	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
darab	darab	NOUN	Case=Nom|Number=Sing	
egyszer	egy	ADV	_	
használatos	használatos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
steril	steril	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
plazma	plazma	NOUN	Case=Nom|Number=Sing	
készítmény	készítmény	NOUN	Case=Nom|Number=Sing	
tárolására	tárolás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
alkalmas	alkalmas	ADJ	Case=Nom|Degree=Pos|Number=Sing	
legalább	legalább	ADV	_	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
ml	ml	NOUN	Case=Ins|Number=Sing	
,	,	PUNCT	_	
legfeljebb	legfeljebb	ADV	_	
700	700	NUM	Case=Nom|NumType=Card|Number=Sing	
ml	ml	NOUN	Case=Ins|Number=Sing	
névleges	névleges	ADJ	Case=Nom|Degree=Pos|Number=Sing	
térfogatú	térfogatú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
transzferzsák	transzferzsák	NOUN	Case=Nom|Number=Sing	
A	a	DET	Definite=Def|PronType=Art	
teljes	teljes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
műszaki	műszaki	ADJ	Case=Nom|Degree=Pos|Number=Sing	
specifikációt	specifikáció	NOUN	Case=Acc|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
közbeszerzési	közbeszerzési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
dokumentumok	dokumentum	NOUN	Case=Nom|Number=Plur	
V.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
fejezete	fejezet	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
tartalmazza	tartalmaz	VERB	Definite=Def|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

