A	a	DET	Definite=Def|PronType=Art	
Dombóvári	dombóvári	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Szent	Szent	PROPN	Case=Nom|Number=Sing	
Lukács	Lukács	PROPN	Case=Nom|Number=Sing	
Kórház	Kórház	PROPN	Case=Nom|Number=Sing	
infrastruktúra	infrastruktúra	NOUN	Case=Nom|Number=Sing	
fejlesztése	fejlesztés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
elnevezésű	elnevezésű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
TIOP-2	TIOP-2	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
6-12	6-12	NUM	Case=Nom|NumType=Card|Number=Sing	
/	/	PUNCT	_	
1B-2013-0017	1B-2013-0017	PROPN	Case=Nom|Number=Sing	
azonosítóval	azonosító	NOUN	Case=Ins|Number=Sing	
ellátott	ellátott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
projekthez	projekt	NOUN	Case=All|Number=Sing	
kapcsolódó	kapcsolódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
Dombóvári	dombóvári	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Szent	Szent	PROPN	Case=Nom|Number=Sing	
Lukács	Lukács	PROPN	Case=Nom|Number=Sing	
Kórház	Kórház	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
Pincehelyi	pincehelyi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Részlegének	részleg	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
fejlesztése	fejlesztés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
során	sor	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
orvos-technológiai	orvos-technológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
eszközök	eszköz	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
adásvételi	adásvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

