MKB10	MKB10	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
2018	2018	NUM	Case=Nom|NumType=Card|Number=Sing	
-	-	PUNCT	_	
52	52	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
Magyarország	Magyarország	PROPN	Case=Nom|Number=Sing	
közigazgatási	közigazgatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
területén	terület	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
keletkező	keletkező	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
ipari-kereskedelmi	ipari-kereskedelmi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
műanyag	műanyag	NOUN	Case=Nom|Number=Sing	
csomagolási	csomagolási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hulladék	hulladék	NOUN	Case=Nom|Number=Sing	
gyűjtése	gyűjtés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
anyagában	anyag	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
történő	történő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
hasznosítása	hasznosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
kezelési	kezelési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kód	kód	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
R3	R3	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
kivéve	kivéve	ADV	_	
:	:	PUNCT	_	
R12	R12	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
R13	R13	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
szolgáltatásmegrendelési	szolgáltatásmegrendelési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
környezetvédelmi	környezetvédelmi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
termékdíjról	termékdíj	NOUN	Case=Del|Number=Sing	
szóló	szóló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
