Az	az	DET	Definite=Def|PronType=Art	
Idősügyi	idősügyi	NOUN	Case=Nom|Number=Sing	
Infokommunikációs	Infokommunikációs	PROPN	Case=Nom|Number=Sing	
Modellprogram	modellprogram	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
idős	idős	ADJ	Case=Nom|Degree=Pos|Number=Sing	
gondozottak	gondozott	NOUN	Case=Nom|Number=Plur	
ellátására	ellátás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
alkalmas	alkalmas	ADJ	Case=Nom|Degree=Pos|Number=Sing	
vészjelző-segélyhívó	vészjelző-segélyhívó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
karperecek	karperec	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
hozzákapcsolódó	hozzákapcsolódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
rendszer	rendszer	NOUN	Case=Nom|Number=Sing	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

