I.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

A	a	DET	Definite=Def|PronType=Art	
Kárpát-medencében	Kárpát-medence	NOUN	Case=Ine|Number=Sing	
,	,	PUNCT	_	
MAGYARORSZÁG	magyarország	NOUN	Case=Nom|Number=Sing	
határain	határ	NOUN	Case=Sup|Number=Plur|Number[psor]=Sing|Person[psor]=3	
kívül	kívül	ADP	_	
élő	élő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
hátrányos	hátrányos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
helyzetű	helyzetű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
személyek	személy	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
kiemelten	kiemelt	ADJ	Case=Ess|Degree=Pos|Number=Sing|VerbForm=PartPast	
romák	roma	NOUN	Case=Nom|Number=Plur	
társadalompolitikai	társadalompolitikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
helyzetének	helyzet	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
feltérképezése	feltérképezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
valamint	valamint	CONJ	_	
a	a	DET	Definite=Def|PronType=Art	
kapcsolódó	kapcsolódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
aktív	aktív	ADJ	Case=Nom|Degree=Pos|Number=Sing	
adatbázis	adatbázis	NOUN	Case=Nom|Number=Sing	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
tudományos	tudományos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kutatás	kutatás	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Kvalitatív	kvalitatív	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
kvantitatív	kvantitatív	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kutatási	kutatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tanulmány	tanulmány	NOUN	Case=Nom|Number=Sing	
készítése	készítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

Kérdőíves	kérdőíves	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
interjús	interjús	ADJ	Case=Nom|Degree=Pos|Number=Sing	
adatfelvétel	adatfelvétel	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
4500	4500	NUM	Case=Nom|NumType=Card|Number=Sing	
fős	fős	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kérdőíves	kérdőíves	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
150	150	NUM	Case=Nom|NumType=Card|Number=Sing	
interjús	interjús	ADJ	Case=Nom|Degree=Pos|Number=Sing	
adatfelvétel	adatfelvétel	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
II	II	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

A	a	DET	Definite=Def|PronType=Art	
Kárpát-medencében	Kárpát-medence	NOUN	Case=Ine|Number=Sing	
élő	élő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
hátrányos	hátrányos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
helyzetű	helyzetű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
személyek	személy	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
kiemelten	kiemelt	ADJ	Case=Ess|Degree=Pos|Number=Sing|VerbForm=PartPast	
romák	roma	NOUN	Case=Nom|Number=Plur	
munkaerő-piaci	munkaerő-piaci	ADJ	Case=Nom|Degree=Pos|Number=Sing	
helyzetének	helyzet	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
vizsgálata	vizsgálat	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
-	-	PUNCT	_	
című	című	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felmérés	felmérés	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
kutatás	kutatás	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
valamint	valamint	CONJ	_	
a	a	DET	Definite=Def|PronType=Art	
multidiszciplináris	multidiszciplináris	ADJ	Case=Nom|Degree=Pos|Number=Sing	
módszerekkel	módszer	NOUN	Case=Ins|Number=Plur	
,	,	PUNCT	_	
MAGYARORSZÁGon	magyarország	NOUN	Case=Sup|Number=Sing	
megvalósítandó	megvalósítandó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartFut	
,	,	PUNCT	_	
határ	határ	NOUN	Case=Nom|Number=Sing	
menti	menti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
területekre	terület	NOUN	Case=Sub|Number=Plur	
fókuszáló	fókuszáló	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kutatási	kutatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tudásbázis	tudásbázis	NOUN	Case=Nom|Number=Sing	
készítése	készítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
MAGYARORSZÁGi	magyarországi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
