Határozott	határozott	ADJ	Case=Nom|Degree=Pos|Number=Sing	
idejű	idejű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
éves	éves	ADJ	Case=Nom|Degree=Pos|Number=Sing	
vállalkozási	vállalkozási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretei	keret	NOUN	Case=Nom|Number=Plur|Number[psor]=Sing|Person[psor]=3	
között	között	ADP	_	
az	az	DET	Definite=Def|PronType=Art	
alábbi	alábbi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
telephelyek	telephely	NOUN	Case=Nom|Number=Plur	
őrzés	őrzés	NOUN	Case=Nom|Number=Sing	
védelmi	védelmi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
portaszolgálati	portaszolgálati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
személyvédelmi	személyvédelmi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
feladatainak	feladat	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
ellátása	ellátás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Központi	központi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
telephely	telephely	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
120	120	NUM	Case=Nom|NumType=Card|Number=Sing	
038	038	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Itt	itt	ADV	PronType=Dem	
helyezkedik	helyezkedik	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
el	el	ADV	_	
a	a	DET	Definite=Def|PronType=Art	
hotelépület	hotelépület	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
a	a	DET	Definite=Def|PronType=Art	
vele	vele	PRON	Case=Ins|Number=Sing|Person=3|PronType=Prs	
zárt	zárt	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
folyosós	folyosós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rendszerben	rendszer	NOUN	Case=Ine|Number=Sing	
összekötött	összekötött	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
pszichiátriai	pszichiátriai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
épület	épület	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
nővérszálló	nővérszálló	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
főbejárati	főbejárati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
mentő	mentő	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
teherporták	teherporta	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
műszaki	műszaki	ADJ	Case=Nom|Degree=Pos|Number=Sing	
ellátás	ellátás	NOUN	Case=Nom|Number=Sing	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
épülete	épület	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

Szakrendelő	szakrendelő	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
6	6	NUM	Case=Nom|NumType=Card|Number=Sing	
603	603	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Maga	maga	PRON	Case=Nom|Number=Sing|Person=3|PronType=Prs	
az	az	DET	Definite=Def|PronType=Art	
épület	épület	NOUN	Case=Nom|Number=Sing	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
610	610	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
mely	mely	PRON	Case=Nom|Number=Sing|Person=3|PronType=Rel	
egy	egy	DET	Definite=Ind|PronType=Art	
őrzött	őrzött	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
bejárattal	bejárat	NOUN	Case=Ins|Number=Sing	
rendelkezik	rendelkezik	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

Csepeli	Csepeli	PROPN	Case=Nom|Number=Sing	
telephely	telephely	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
11	11	NUM	Case=Nom|NumType=Card|Number=Sing	
773	773	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

A	a	DET	Definite=Def|PronType=Art	
telephely	telephely	NOUN	Case=Nom|Number=Sing	
egy	egy	DET	Definite=Ind|PronType=Art	
bejárattal	bejárat	NOUN	Case=Ins|Number=Sing	
rendelkezik	rendelkezik	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

Itt	itt	ADV	PronType=Dem	
zajlik	zajlik	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
a	a	DET	Definite=Def|PronType=Art	
személy	személy	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
teherforgalom	teherforgalom	NOUN	Case=Nom|Number=Sing	
is	is	CONJ	_	
.	.	PUNCT	_	

Az	az	DET	Definite=Def|PronType=Art	
épületek	épület	NOUN	Case=Nom|Number=Plur	
elhelyezkedése	elhelyezkedés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
dokumentációhoz	dokumentáció	NOUN	Case=All|Number=Sing	
