12	12	NUM	Case=Nom|NumType=Card|Number=Sing	
havi	havi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szemlencse	szemlencse	NOUN	Case=Nom|Number=Sing	
szükséglet	szükséglet	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
részben	rész	NOUN	Case=Ine|Number=Sing	
,	,	PUNCT	_	
minden	minden	PRON	Case=Nom|Number=Sing|Person=3|PronType=Tot	
rész	rész	NOUN	Case=Nom|Number=Sing	
esetében	eset	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
konszignációs	konszignációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
raktár	raktár	NOUN	Case=Nom|Number=Sing	
kihelyezésével	kihelyezés	NOUN	Case=Ins|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
működtetésével	működtetés	NOUN	Case=Ins|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

I.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
összehajtható	összehajtható	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
hidrofil	hidrofil	ADJ	Case=Nom|Degree=Pos|Number=Sing	
akril	akril	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
intraokuláris	intraokuláris	ADJ	Case=Nom|Degree=Pos|Number=Sing	
műlencse	műlencs	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
mennyiség	mennyiség	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
300	300	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
+	+	PUNCT	_	
20	20	NUM	Case=Nom|NumType=Card|Number=Sing	
%	%	PUNCT	_	
.	.	PUNCT	_	

II	II	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
összehajtható	összehajtható	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
hidrofil	hidrofil	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
akril	akril	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
intaokuláris	intaokuláris	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
aszférikus	aszférikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
műlencse	műlencs	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
mennyiség	mennyiség	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
+	+	PUNCT	_	
20	20	NUM	Case=Nom|NumType=Card|Number=Sing	
%	%	PUNCT	_	
.	.	PUNCT	_	

III	III	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
összehajtható	összehajtható	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
egytestű	egytestű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
hidrofil-hidrofób	hidrofil-hidrofób	ADJ	Case=Nom|Degree=Cmp|Number=Sing	
kopolimer	kopolimer	ADJ	Case=Nom|Degree=Pos|Number=Sing	
akrilát	akrilát	NOUN	Case=Nom|Number=Sing	
műlencse	műlencs	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
mennyiség	mennyiség	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
750	750	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
+	+	PUNCT	_	
20	20	NUM	Case=Nom|NumType=Card|Number=Sing	
%	%	PUNCT	_	
.	.	PUNCT	_	

IV	4	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
összehajtható	összehajtható	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
háromtestű	háromtestű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
hidrofób	hidrofób	ADJ	Case=Nom|Degree=Cmp|Number=Sing	
akrilát	akrilát	NOUN	Case=Nom|Number=Sing	
műlencse	műlencs	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
mennyiség	mennyiség	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
+	+	PUNCT	_	
20	20	NUM	Case=Nom|NumType=Card|Number=Sing	
%	%	PUNCT	_	
.	.	PUNCT	_	

