A	a	DET	Definite=Def|PronType=Art	
veleszületett	veleszületett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
vérzékenység	vérzékenység	NOUN	Case=Nom|Number=Sing	
kezelésére	kezelés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szolgáló	szolgáló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
recombináns	recombináns	ADJ	Case=Nom|Degree=Pos|Number=Sing	
technológiával	technológia	NOUN	Case=Ins|Number=Sing	
előállított	előállított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
generációs	generációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
VIII	8	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
faktor	faktor	NOUN	Case=Nom|Number=Sing	
koncentrátum	koncentrátum	NOUN	Case=Nom|Number=Sing	
készítmény	készítmény	NOUN	Case=Nom|Number=Sing	
2015.	2015.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
évi	évi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

