A	a	DET	Definite=Def|PronType=Art	
Nemzeti	Nemzeti	PROPN	Case=Nom|Number=Sing	
Adó	Adó	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
Vámhivatal	vámhivatal	NOUN	Case=Nom|Number=Sing	
Dél-alföldi	Dél-alföldi	PROPN	Case=Nom|Number=Sing	
Regionális	Regionális	PROPN	Case=Nom|Number=Sing	
Adó	Adó	PROPN	Case=Nom|Number=Sing	
Főigazgatósága	főigazgatóság	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
kezelésében	kezelés	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
lévő	lévő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
Békés	Békés	PROPN	Case=Nom|Number=Sing	
megyei	megyei	ADJ	Case=Nom|Degree=Pos|Number=Sing	
objektumok	objektum	NOUN	Case=Nom|Number=Plur	
takarítása	takarítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

