A	a	DET	Definite=Def|PronType=Art	
Semmelweis	Semmelweis	PROPN	Case=Nom|Number=Sing	
Egyetem	Egyetem	PROPN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
12	12	NUM	Case=Nom|NumType=Card|Number=Sing	
havi	havi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
gyógyszerkészítmények	gyógyszerkészítmény	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
adásvételi	adásvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
keretszerződés	keretszerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

