Az	az	DET	Definite=Def|PronType=Art	
ajánlatkérő	ajánlatkérő	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
tagvállalatai	tagvállalat	NOUN	Case=Nom|Number=Plur|Number[psor]=Sing|Person[psor]=3	
tulajdonában	tulajdon	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
üzemeltetésében	üzemeltetés	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
/	/	PUNCT	_	
vagy	vagy	CONJ	_	
kezelésében	kezelés	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
lévő	lévő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
ingatlanok	ingatlan	NOUN	Case=Nom|Number=Plur	
(	(	PUNCT	_	
épületek	épület	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
építmények	építmény	NOUN	Case=Nom|Number=Plur	
)	)	PUNCT	_	
gépek	gép	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
berendezések	berendezés	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
informatikai	informatikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
eszközök	eszköz	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
készletek	készlet	NOUN	Case=Nom|Number=Plur	
vagyonbiztosítása	vagyonbiztosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
ajánlatkérő	ajánlatkérő	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
tagvállalatai	tagvállalat	NOUN	Case=Nom|Number=Plur|Number[psor]=Sing|Person[psor]=3	
tevékenységével	tevékenység	NOUN	Case=Ins|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
működésével	működés	NOUN	Case=Ins|Number=Sing|Number[psor]=Sing|Person[psor]=3	
összefüggő	összefüggő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
felelősségbiztosítások	felelősségbiztosítás	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
gépjárművek	gépjármű	NOUN	Case=Nom|Number=Plur	
casco	casco	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
kötelező	kötelező	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felelősségbiztosítása	felelősségbiztosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

