MKB7	MKB7	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
2018	2018	NUM	Case=Nom|NumType=Card|Number=Sing	
-	-	PUNCT	_	
35	35	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
Mo	mo	X	_	
.	.	PUNCT	_	
közigazgatási	közigazgatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
területén	terület	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
keletkező	keletkező	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
termékként	termék	NOUN	Case=Abs|Number=Sing	
tovább	tovább	ADV	_	
nem	nem	ADV	PronType=Neg	
használható	használható	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kombinált	kombinált	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
gyűjtésű	gyűjtésű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
elektronikai	elektronikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
berendezések	berendezés	NOUN	Case=Nom|Number=Plur	
hulladékainak	hulladék	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
gyűjtése	gyűjtés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
tárgyévi	tárgyévi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
előkezelése	előkezelés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
további	további	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kezelésre	kezelés	NOUN	Case=Sub|Number=Sing	
történő	történő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
átadása	átadás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szolgáltatás-megrendelési	szolgáltatás-megrendelési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
környezetvédelmi	környezetvédelmi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
termékdíjról	termékdíj	NOUN	Case=Del|Number=Sing	
szóló	szóló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
