1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
H-27515	H-27515	PROPN	Case=Nom|Number=Sing	
nyilvántartási	nyilvántartási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
számú	számú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alumínium	alumínium	NOUN	Case=Nom|Number=Sing	
járőrhajó	járőrhajó	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
SUGÓ	sugó	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
teljeskörű	teljeskörű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felújítása	felújítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
műszaki	műszaki	ADJ	Case=Nom|Degree=Pos|Number=Sing	
leírásban	leírás	NOUN	Case=Ine|Number=Sing	
foglaltak	foglalt	NOUN	Case=Nom|Number=Plur	
szerint	szerint	ADP	_	
.	.	PUNCT	_	

