Az	az	DET	Definite=Def|PronType=Art	
Országos	Országos	PROPN	Case=Nom|Number=Sing	
Onkológiai	onkológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Intézet	Intézet	PROPN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
különféle	különféle	ADJ	Case=Nom|Degree=Pos|Number=Sing	
orvosi	orvosi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felszerelések	felszerelés	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
orvosi	orvosi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
fogyóeszközök	fogyóeszköz	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
adás-vételi	adás-vételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
12	12	NUM	Case=Nom|NumType=Card|Number=Sing	
hónapos	hónapos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
határozott	határozott	ADJ	Case=Nom|Degree=Pos|Number=Sing	
időtartamra	időtartam	NOUN	Case=Sub|Number=Sing	
.	.	PUNCT	_	

