A	a	DET	Definite=Def|PronType=Art	
KEOP	KEOP	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
5.6.0	5.6.0	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
E	e	PRON	Case=Nom|Number=Sing|Person=3|PronType=Dem	
/	/	PUNCT	_	
15.	15.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

„	„	PUNCT	_	
Egészségügyi	Egészségügyi	PROPN	Case=Nom|Number=Sing	
eszközök	eszközök	PROPN	Case=Nom|Number=Sing	
energia	energia	NOUN	Case=Nom|Number=Sing	
megtakarítást	megtakarítás	NOUN	Case=Acc|Number=Sing	
célzó	célzó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
beszerzésének	beszerzés	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
támogatása	támogatás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
című	című	ADJ	Case=Nom|Degree=Pos|Number=Sing	
konstrukcióhoz	konstrukció	NOUN	Case=All|Number=Sing	
kapcsolódóan	kapcsolódó	ADJ	Case=Ess|Degree=Pos|Number=Sing|VerbForm=PartPres	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Perifériás	perifériás	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
kardiológiai	kardiológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
intervenciós	intervenciós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
DSA	DSA	PROPN	Case=Nom|Number=Sing	
röntgen	röntgen	NOUN	Case=Nom|Number=Sing	
berendezés	berendezés	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
szállítással	szállítás	NOUN	Case=Ins|Number=Sing	
,	,	PUNCT	_	
telepítéssel	telepítés	NOUN	Case=Ins|Number=Sing	
,	,	PUNCT	_	
üzembehelyezéssel	üzembehelyezés	NOUN	Case=Ins|Number=Sing	
és	és	CONJ	_	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
év	év	NOUN	Case=Nom|Number=Sing	
jótállás	jótállás	NOUN	Case=Nom|Number=Sing	
biztosításával	biztosítás	NOUN	Case=Ins|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

