I.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
részajánlat	részajánlat	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Cementes	cementes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
csípőízületi	csípőízületi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
totál	totál	ADV	_	
protézis	protézis	NOUN	Case=Nom|Number=Sing	
secundaer	secundaer	NOUN	Case=Nom|Number=Sing	
coxarthrosis	coxarthrosis	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kezelésére	kezelés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
Traumatológia	traumatológia	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Ortopédia	ortopédia	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
:	:	PUNCT	_	
30	30	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
II	II	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
részajánlat	részajánlat	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Cement	cement	NOUN	Case=Nom|Number=Sing	
nélküli	nélküli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
csípőízületi	csípőízületi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
totál	totál	ADV	_	
protézis	protézis	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
Traumatológia	traumatológia	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Ortopédia	ortopédia	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
:	:	PUNCT	_	
90	90	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
III	III	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
részajánlat	részajánlat	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Cementes	cementes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
csípőízületi	csípőízületi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
totál	totál	ADV	_	
protézis	protézis	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
primer	primer	ADJ	Case=Nom|Degree=Pos|Number=Sing	
coxarthrosis	coxarthrosis	NOUN	Case=Nom|Number=Sing	
megoldására	megoldás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
Traumatológia	traumatológia	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Ortopédia	ortopédia	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
:	:	PUNCT	_	
80	80	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
IV	4	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
részajánlat	részajánlat	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Totál	totál	NOUN	Case=Nom|Number=Sing	
felszínpótló	felszínpótló	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
revíziós	revíziós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
térdprotézis	térdprotézis	NOUN	Case=Nom|Number=Sing	
fémtálcás	fémtálcás	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tibiális	tibiális	ADJ	Case=Nom|Degree=Pos|Number=Sing	
komponenssel	komponens	NOUN	Case=Ins|Number=Sing	
(	(	PUNCT	_	
Traumatológia	traumatológia	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Ortopédia	ortopédia	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
:	:	PUNCT	_	
150	150	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
V.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
részajánlat	részajánlat	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Csontcementek	csontcement	NOUN	Case=Nom|Number=Plur	
(	(	PUNCT	_	
Traumatológia	traumatológia	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Ortopédia	ortopédia	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
40	40	NUM	Case=Nom|NumType=Card|Number=Sing	
grammos	grammos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
:	:	PUNCT	_	
360	360	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
20	20	NUM	Case=Nom|NumType=Card|Number=Sing	
grammos	grammos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
:	:	PUNCT	_	
210	210	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	

