A	a	DET	Definite=Def|PronType=Art	
Városmajori	városmajori	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Szív	szív	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
Érgyógyászati	érgyógyászati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Klinika	Klinika	PROPN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
embolektómiás	embolektómiás	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéterek	katéter	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
érprotézisek	érprotézis	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
carotis	carotis	ADV	_	
shunt	shunt	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
pericardium	pericardium	X	_	
folt	folt	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

Beszerzés	beszerzés	NOUN	Case=Nom|Number=Sing	
mennyisége	mennyiség	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
összesen	összesen	ADV	_	
1045	1045	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
2év	2év	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	

1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Embolektómiás	Embolektómiás	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéterek	katéter	NOUN	Case=Nom|Number=Plur	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Dróton	drót	NOUN	Case=Sup|Number=Sing	
felvezethető	felvezethető	ADJ	Case=Nom|Degree=Pos|Number=Sing	
embolektómiás	embolektómiás	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéterek	katéter	NOUN	Case=Nom|Number=Plur	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Dacron	Dacron	PROPN	Case=Nom|Number=Sing	
alapanyagú	alapanyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
műerek	műér	NOUN	Case=Nom|Number=Plur	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Polytetrafluoretilén	Polytetrafluoretilén	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
PTFE	PTFE	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
alapanyagú	alapanyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
külső	külső	ADJ	Case=Nom|Degree=Pos|Number=Sing	
erősítésű	erősítésű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
vékony	vékony	ADJ	Case=Nom|Degree=Pos|Number=Sing	
falú	falú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
műerek	műér	NOUN	Case=Nom|Number=Plur	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Polytetrafluoretilén	Polytetrafluoretilén	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
PTFE	PTFE	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
alapanyagú	alapanyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
külső	külső	ADJ	Case=Nom|Degree=Pos|Number=Sing	
