A	a	DET	Definite=Def|PronType=Art	
KEOP	KEOP	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
5.6.0	5.6.0	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
E	e	PRON	Case=Nom|Number=Sing|Person=3|PronType=Dem	
/	/	PUNCT	_	
15	15	NUM	Case=Nom|NumType=Card|Number=Sing	
„	„	PUNCT	_	
Egészségügyi	Egészségügyi	PROPN	Case=Nom|Number=Sing	
eszközök	eszközök	PROPN	Case=Nom|Number=Sing	
energia	energia	NOUN	Case=Nom|Number=Sing	
megtakarítást	megtakarítás	NOUN	Case=Acc|Number=Sing	
célzó	célzó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
beszerzésének	beszerzés	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
támogatása	támogatás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
című	című	ADJ	Case=Nom|Degree=Pos|Number=Sing	
pályázati	pályázati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felhívásra	felhívás	NOUN	Case=Sub|Number=Sing	
tekintettel	tekintet	NOUN	Case=Ins|Number=Sing	
,	,	PUNCT	_	
adás-vételi	adás-vételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Kardiológiai	kardiológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Röntgen	röntgen	NOUN	Case=Nom|Number=Sing	
angiográfia	angiográfia	NOUN	Case=Nom|Number=Sing	
berendezés	berendezés	NOUN	Case=Nom|Number=Sing	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
telepítése	telepítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
üzembe	üzem	NOUN	Case=Ill|Number=Sing	
helyezése	helyezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
adásvételi	adásvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

