3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
neonatológiai	neonatológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
mentőgépjármű	mentőgépjármű	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
dokumentációban	dokumentáció	NOUN	Case=Ine|Number=Sing	
meghatározott	meghatározott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
felszereléssel	felszerelés	NOUN	Case=Ins|Number=Sing	
,	,	PUNCT	_	
eszközökkel	eszköz	NOUN	Case=Ins|Number=Plur	
.	.	PUNCT	_	

