Az	az	DET	Definite=Def|PronType=Art	
Országos	Országos	PROPN	Case=Nom|Number=Sing	
Vérellátó	vérellátó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Szolgálat	Szolgálat	PROPN	Case=Nom|Number=Sing	
preparatív	preparatív	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
klinikai	klinikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
transzfuziológiai	transzfuziológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
feladatainak	feladat	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
vérkészítmények	vérkészítmény	NOUN	Case=Nom|Number=Plur	
azonosító	azonosító	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
és	és	CONJ	_	
minősítő	minősítő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
címkézése	címkézés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
vérvételi	vérvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
zsákrendszerek	zsákrendszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
vérvételi	vérvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
mintacsövek	mintacső	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
véradó	véradó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
bizonylatok	bizonylat	NOUN	Case=Nom|Number=Plur	
azonosító	azonosító	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
címkézése	címkézés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
)	)	PUNCT	_	
ellátásához	ellátás	NOUN	Case=All|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szükséges	szükséges	ADJ	Case=Nom|Degree=Pos|Number=Sing	
különféle	különféle	ADJ	Case=Nom|Degree=Pos|Number=Sing	
öntapadó	öntapadó	NOUN	Case=Nom|Number=Sing	
nyomatlan	nyomatlan	ADJ	Case=Nom|Degree=Pos|Number=Sing	
címkék	címke	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
öntapadó	öntapadó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
nyomatlan	nyomatlan	ADJ	Case=Nom|Degree=Pos|Number=Sing	
címkekészletek	címkekészlet	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
termal	ter	NOUN	Case=Ins|Number=Sing	
transfer	transfer	X	_	
festékszalagok	festékszalag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	

