A	a	DET	Definite=Def|PronType=Art	
NEAK	NEAK	PROPN	Case=Nom|Number=Sing	
által	által	ADP	_	
jelenleg	jelenleg	ADV	_	
természetben	természet	NOUN	Case=Ine|Number=Sing	
nem	nem	ADV	PronType=Neg	
biztosított	biztosított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
tételes	tételes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
elszámolás	elszámolás	NOUN	Case=Nom|Number=Sing	
alá	alá	ADP	_	
eső	eső	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
adalimumab	adalimumab	ADJ	Case=Nom|Degree=Sup|Number=Sing	
hatóanyagot	hatóanyag	NOUN	Case=Acc|Number=Sing	
tartalmazó	tartalmazó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
e	e	PRON	Case=Nom|Number=Sing|Person=3|PronType=Dem	
hatóanyagra	hatóanyag	NOUN	Case=Sub|Number=Sing	
történő	történő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
váltás	váltás	NOUN	Case=Nom|Number=Sing	
céljából	cél	NOUN	Case=Ela|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szükséges	szükséges	ADJ	Case=Nom|Degree=Pos|Number=Sing	
gyógyszermennyiség	gyógyszermennyiség	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
2019.	2019.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
október	október	NOUN	Case=Nom|Number=Sing	
31-ig	31.	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
terjedő	terjedő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
aktív	aktív	ADJ	Case=Nom|Degree=Pos|Number=Sing	
időszakra	időszak	NOUN	Case=Sub|Number=Sing	
szóló	szóló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
keretmegállapodás	keretmegállapodás	NOUN	Case=Nom|Number=Sing	
megkötésére	megkötés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
irányuló	irányuló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
nyílt	nyílt	ADJ	Case=Nom|Degree=Pos|Number=Sing	
eljárás	eljárás	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	

