1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
légkezelő	légkezelő	NOUN	Case=Nom|Number=Sing	
karbantartása	karbantartás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hibajavítás	hibajavítás	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
Gyermekgyógy	gyermekgyógy	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Klinika	Klinika	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Klinikai	klinikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Központ	Központ	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Rehabilitációs	rehabilitációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
a	a	DET	Definite=Def|PronType=Art	
Fogászati	fogászati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Klinika	Klinika	PROPN	Case=Nom|Number=Sing	
telephelyein	telephely	NOUN	Case=Sup|Number=Plur|Number[psor]=Sing|Person[psor]=3	
23	23	NUM	Case=Nom|NumType=Card|Number=Sing	
940	940	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
keretösszeg	keretösszeg	NOUN	Case=Nom|Number=Sing	
erejéig	erő	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
r.	r.	NOUN	Case=Nom|Number=Sing	
légkezelő	légkezelő	NOUN	Case=Nom|Number=Sing	
karbantartása	karbantartás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
