1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Fókuszcsoportos	fókuszcsoportos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
(	(	PUNCT	_	
kvalitatív	kvalitatív	ADJ	Case=Nom|Degree=Pos|Number=Sing	
)	)	PUNCT	_	
vizsgálat	vizsgálat	NOUN	Case=Nom|Number=Sing	
szolgáltatás	szolgáltatás	NOUN	Case=Nom|Number=Sing	
megrendelés	megrendelés	NOUN	Case=Nom|Number=Sing	
vállalkozási	vállalkozási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
TÁMOP-6	TÁMOP-6	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

1.3	1.3	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

B-12	B-12	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
1-2013-0001	1-2013-0001	PROPN	Case=Nom|Number=Sing	
„	„	PUNCT	_	
Népegészségügyi	Népegészségügyi	PROPN	Case=Nom|Number=Sing	
kommunikáció	kommunikáció	NOUN	Case=Nom|Number=Sing	
fejlesztése	fejlesztés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
című	című	ADJ	Case=Nom|Degree=Pos|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Kommunikációs	kommunikációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hatásosság	hatásosság	NOUN	Case=Nom|Number=Sing	
felmérés	felmérés	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
KHF	KHF	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
szolgáltatás	szolgáltatás	NOUN	Case=Nom|Number=Sing	
megrendelés	megrendelés	NOUN	Case=Nom|Number=Sing	
vállalkozási	vállalkozási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
TÁMOP-6	TÁMOP-6	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

1.3	1.3	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

B-12	B-12	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
1-2013-0001	1-2013-0001	PROPN	Case=Nom|Number=Sing	
„	„	PUNCT	_	
Népegészségügyi	Népegészségügyi	PROPN	Case=Nom|Number=Sing	
kommunikáció	kommunikáció	NOUN	Case=Nom|Number=Sing	
fejlesztése	fejlesztés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
című	című	ADJ	Case=Nom|Degree=Pos|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Egészségkommunikációs	egészségkommunikációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
sajátosságok	sajátosság	NOUN	Case=Nom|Number=Plur	
felnőtt	felnőtt	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felmérés	felmérés	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
ESF	ESF	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
szolgáltatás	szolgáltatás	NOUN	Case=Nom|Number=Sing	
megrendelés	megrendelés	NOUN	Case=Nom|Number=Sing	
vállalkozási	vállalkozási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
TÁMOP-6	TÁMOP-6	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

1.3	1.3	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

B-12	B-12	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
1-2013-0001	1-2013-0001	PROPN	Case=Nom|Number=Sing	
„	„	PUNCT	_	
Népegészségügyi	Népegészségügyi	PROPN	Case=Nom|Number=Sing	
kommunikáció	kommunikáció	NOUN	Case=Nom|Number=Sing	
fejlesztése	fejlesztés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
című	című	ADJ	Case=Nom|Degree=Pos|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Egészségkommunikációs	egészségkommunikációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
sajátosságok	sajátosság	NOUN	Case=Nom|Number=Plur	
iskolai	iskolai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felmérés	felmérés	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
iESF	iESF	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
szolgáltatás	szolgáltatás	NOUN	Case=Nom|Number=Sing	
megrendelés	megrendelés	NOUN	Case=Nom|Number=Sing	
vállalkozási	vállalkozási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
TÁMOP-6	TÁMOP-6	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

1.3	1.3	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

B-12	B-12	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
1-2013-0001	1-2013-0001	PROPN	Case=Nom|Number=Sing	
„	„	PUNCT	_	
Népegészségügyi	Népegészségügyi	PROPN	Case=Nom|Number=Sing	
kommunikáció	kommunikáció	NOUN	Case=Nom|Number=Sing	
fejlesztése	fejlesztés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
című	című	ADJ	Case=Nom|Degree=Pos|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

