2017-2018	2017-2018	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
évi	évi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felújítandó	felújítandó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartFut	
útvonalak	útvonal	NOUN	Case=Nom|Number=Plur	
engedélyezési	engedélyezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
kiviteli	kiviteli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
terveinek	terv	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
-	-	PUNCT	_	
3.,	3.,	PROPN	Case=Nom|Number=Sing	

4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
és	és	CONJ	_	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
tervezési	tervezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
csomag	csomag	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

