A	a	DET	Definite=Def|PronType=Art	
veleszületett	veleszületett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
vérzékenység	vérzékenység	NOUN	Case=Nom|Number=Sing	
kezelésére	kezelés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szolgáló	szolgáló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
IX	9	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
faktor	faktor	NOUN	Case=Nom|Number=Sing	
készítmény	készítmény	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
ATC	ATC	PROPN	Case=Nom|Number=Sing	
kód	kód	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
B02BD04	B02BD04	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
2019.	2019.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
december	december	NOUN	Case=Nom|Number=Sing	
31-ig	31.	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
12	12	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
NE	ne	ADV	PronType=Neg	
mennyiségben	mennyiség	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

