A	a	DET	Definite=Def|PronType=Art	
veleszületett	veleszületett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
vérzékenység	vérzékenység	NOUN	Case=Nom|Number=Sing	
kezelésére	kezelés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szolgáló	szolgáló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
recombináns	recombináns	ADJ	Case=Nom|Degree=Pos|Number=Sing	
technológiával	technológia	NOUN	Case=Ins|Number=Sing	
előállított	előállított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
generációs	generációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
B-domain-depletált	B-domain-depletál	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
teljesen	teljes	ADJ	Case=Ess|Degree=Pos|Number=Sing	
tirozin-szulfatált	tirozin-szulfatált	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
VIII	8	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
faktor	faktor	NOUN	Case=Nom|Number=Sing	
koncentrátum	koncentrátum	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
korábban	korán	ADV	Degree=Cmp	
már	már	ADV	_	
kezelt	kezelt	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
,	,	PUNCT	_	
ún.	ún.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
PTP	PTP	NOUN	Case=Nom|Number=Sing	
betegek	beteg	NOUN	Case=Nom|Number=Plur	
részére	részére	ADP	_	
.	.	PUNCT	_	

